TransactionID,CustomerSegment,TransactionDate,Items
159,Family,2025-11-13,"Banana,Butter,Cereal,Eggs,Juice,Milk"
160,Healthy,2025-03-24,"Apple,Bread,Butter,Fish,Jam,Soap"
161,Family,2025-04-17,"Baby Wipes,Bread,Fish,Milk,Yogurt"
162,Household,2025-03-05,"Cereal,Detergent,Honey,Milk,Soap,Tea,Toothpaste"
163,Family,2025-08-28,"Baby Wipes,Cereal,Chocolate,Detergent,Diapers,Ice Cream,Juice,Olive Oil"
164,Family,2025-10-29,"Bread,Cereal,Eggs,Milk,Olive Oil,Toothpaste"
165,Family,2025-07-30,"Bread,Chicken,Eggs,Honey,Juice,Milk,Tea"
166,Healthy,2025-01-05,"Butter,Fish,Toothpaste,Yogurt"
167,Family,2025-06-16,"Baby Wipes,Bread,Butter,Eggs,Milk"
168,Healthy,2025-12-21,"Cereal,Detergent,Pasta,Yogurt"
169,Family,2025-06-08,"Banana,Butter,Diapers,Eggs,Shampoo"
170,Student,2025-12-23,"Bread,Cereal,Chocolate,Milk,Onion,Soda"
171,Student,2025-04-26,"Baby Wipes,Bread,Chocolate,Diapers,Eggs,Milk,Pasta"
172,Family,2025-06-03,"Diapers,Eggs,Milk,Onion,Rice,Tea"
173,Family,2025-11-06,"Butter,Cereal,Diapers,Jam,Milk"
174,Family,2025-11-24,"Chicken,Diapers,Eggs,Juice,Rice"
175,Household,2025-12-05,"Cereal,Milk,Toothpaste"
176,Household,2025-07-01,"Cheese,Pasta,Shampoo,Soap,Tomato Sauce,Toothpaste"
177,Family,2025-03-21,"Bread,Eggs,Juice,Milk,Olive Oil,Orange"
178,Family,2025-07-06,"Bread,Cereal,Diapers,Potato,Sugar"
179,Family,2025-03-07,"Cereal,Eggs,Milk,Sugar,Tea"
180,Family,2025-05-30,"Cereal,Coffee,Milk,Potato,Rice"
181,Family,2025-03-17,"Bread,Cereal,Chocolate,Eggs,Soap"
182,Household,2025-09-03,"Detergent,Ice Cream,Onion,Shampoo,Soap"
183,Family,2025-12-02,"Baby Wipes,Cereal,Cheese,Eggs,Pasta"
184,Family,2025-08-04,"Baby Wipes,Jam,Onion,Soap,Sugar"
185,Family,2025-09-25,"Butter,Eggs,Milk,Shampoo,Tea"
186,Student,2025-03-08,"Banana,Biscuits,Chocolate,Sugar,Tea"
187,Healthy,2025-02-18,"Detergent,Fish,Orange,Yogurt"
188,Student,2025-08-27,"Chocolate,Pasta,Soda,Tomato Sauce"
189,Student,2025-03-26,"Baby Wipes,Chips,Juice,Pasta,Tomato Sauce"
190,Family,2025-06-04,"Cheese,Chicken,Olive Oil,Rice,Tomato Sauce"
191,Household,2025-06-29,"Shampoo,Soap,Toothpaste"
192,Household,2025-10-11,"Baby Wipes,Biscuits,Pasta,Sugar,Tissues"
193,Family,2025-06-10,"Banana,Bread,Butter,Cheese,Diapers,Milk"
194,Healthy,2025-04-16,"Apple,Coffee,Eggs,Milk,Onion"
195,Household,2025-06-12,"Cereal,Shampoo,Soap,Soda,Toothpaste"
196,Household,2025-04-26,"Beef,Cheese,Pasta,Soap,Tissues,Yogurt"
197,Family,2025-09-07,"Juice,Pasta,Soap,Soda,Tomato Sauce"
198,Family,2025-09-29,"Apple,Baby Wipes,Fish,Juice,Rice"
199,Healthy,2025-06-30,"Apple,Banana,Bread,Butter,Juice,Milk,Orange,Yogurt"
200,Household,2025-11-17,"Beef,Ice Cream,Shampoo,Soap,Tomato Sauce"
201,Healthy,2025-04-11,"Bread,Butter,Cheese,Honey,Tomato Sauce"
202,Student,2025-11-14,"Butter,Cereal,Milk,Tomato Sauce"
203,Student,2025-07-27,"Butter,Diapers,Eggs,Milk,Toothpaste"
204,Student,2025-02-02,"Butter,Chips,Chocolate,Pasta,Water"
205,Family,2025-06-14,"Baby Wipes,Bread,Butter,Chips,Pasta"
206,Family,2025-05-09,"Bread,Cereal,Eggs,Milk,Rice,Tea,Tomato Sauce"
207,Student,2025-09-17,"Pasta,Shampoo,Soap,Soda,Tomato Sauce,Toothpaste"
208,Family,2025-12-03,"Baby Wipes,Cheese,Chips,Eggs,Juice,Pasta,Tomato Sauce,Yogurt"
209,Family,2025-04-25,"Chocolate,Eggs,Juice,Milk,Soap"
210,Family,2025-05-18,"Baby Wipes,Bread,Cereal,Eggs,Toothpaste"
211,Healthy,2025-02-25,"Banana,Chocolate,Diapers,Fish,Water,Yogurt"
212,Family,2025-08-30,"Bread,Cheese,Milk,Onion,Pasta,Tomato Sauce"
213,Healthy,2025-05-15,"Apple,Biscuits,Coffee,Sugar,Yogurt"
214,Healthy,2025-04-29,"Apple,Cheese,Fish,Tomato Sauce"
215,Family,2025-06-01,"Baby Wipes,Cereal,Chicken,Juice,Onion,Rice,Soap,Water"
216,Household,2025-09-22,"Butter,Detergent,Jam"
217,Household,2025-05-29,"Bread,Detergent,Milk"
218,Family,2025-02-22,"Butter,Diapers,Honey,Onion,Soda"
219,Student,2025-07-21,"Bread,Butter,Chicken,Milk,Pasta,Tomato Sauce"
220,Household,2025-07-12,"Banana,Chips,Toothpaste"
221,Family,2025-08-23,"Baby Wipes,Bread,Coffee,Eggs,Honey"
222,Family,2025-12-07,"Baby Wipes,Bread,Diapers,Soap,Tissues"
223,Student,2025-11-28,"Chocolate,Ice Cream,Pasta"
224,Family,2025-05-17,"Biscuits,Bread,Butter,Ice Cream,Milk,Rice"
225,Family,2025-09-08,"Cereal,Eggs,Juice,Milk,Tea"
226,Student,2025-04-06,"Baby Wipes,Diapers,Soda"
227,Healthy,2025-02-16,"Chips,Eggs,Fish,Soda"
228,Healthy,2025-07-18,"Baby Wipes,Fish,Juice,Orange,Water,Yogurt"
229,Healthy,2025-05-25,"Banana,Cereal,Fish,Milk,Rice,Tissues"
230,Family,2025-05-12,"Butter,Cheese,Milk,Pasta,Sugar,Tomato Sauce"
231,Healthy,2025-06-27,"Bread,Butter,Milk,Onion"
232,Household,2025-11-03,"Chocolate,Detergent,Tomato Sauce"
233,Family,2025-08-30,"Chips,Coffee,Detergent,Ice Cream,Juice,Soda"
234,Household,2025-03-16,"Biscuits,Cereal,Detergent"
235,Household,2025-10-27,"Chicken,Onion,Rice,Tissues"
236,Family,2025-05-07,"Cheese,Chips,Honey,Pasta,Tomato Sauce"
237,Family,2025-09-17,"Baby Wipes,Bread,Eggs,Ice Cream,Juice,Milk"
238,Student,2025-05-15,"Chips,Eggs,Pasta,Soda"
239,Student,2025-11-24,"Chicken,Milk,Sugar"
240,Family,2025-10-17,"Cheese,Diapers,Milk,Pasta,Tomato Sauce"
241,Student,2025-07-01,"Chocolate,Diapers,Soap"
242,Household,2025-08-01,"Chicken,Detergent,Orange,Shampoo,Soap"
243,Family,2025-09-12,"Baby Wipes,Biscuits,Coffee,Diapers,Milk"
244,Family,2025-07-26,"Baby Wipes,Biscuits,Coffee,Diapers,Eggs,Orange,Sugar"
245,Family,2025-02-19,"Banana,Beef,Cereal,Eggs,Milk"
246,Healthy,2025-05-23,"Cheese,Fish,Orange,Pasta,Water"
247,Family,2025-03-05,"Biscuits,Cereal,Diapers,Juice,Sugar,Tea"
248,Student,2025-12-29,"Eggs,Milk,Water"
249,Student,2025-03-24,"Biscuits,Chocolate,Onion,Rice,Toothpaste"
250,Family,2025-07-01,"Chicken,Eggs,Juice,Milk,Onion,Rice"
251,Student,2025-10-24,"Bread,Cheese,Chicken,Chips,Fish,Jam,Milk"
252,Family,2025-11-09,"Baby Wipes,Bread,Cheese,Diapers,Tomato Sauce"
253,Family,2025-06-17,"Bread,Cereal,Chicken,Onion,Yogurt"
254,Student,2025-09-09,"Beef,Chocolate,Tomato Sauce"
255,Family,2025-04-07,"Biscuits,Coffee,Juice,Potato,Sugar"
256,Student,2025-07-31,"Baby Wipes,Diapers,Milk"
257,Student,2025-11-02,"Baby Wipes,Bread,Diapers,Milk,Pasta,Tomato Sauce"
258,Healthy,2025-10-07,"Baby Wipes,Cheese,Fish,Onion,Pasta,Tomato Sauce,Water,Yogurt"
259,Family,2025-04-08,"Bread,Butter,Eggs,Jam,Onion"
260,Student,2025-01-05,"Baby Wipes,Chocolate,Ice Cream"
261,Household,2025-12-10,"Biscuits,Bread,Butter,Coffee,Eggs,Milk"
262,Student,2025-08-29,"Chocolate,Honey,Shampoo,Toothpaste"
263,Student,2025-02-16,"Chips,Juice,Soda"
264,Healthy,2025-01-31,"Detergent,Juice,Orange,Toothpaste"
265,Healthy,2025-10-31,"Banana,Bread,Butter,Ice Cream,Milk"
266,Household,2025-08-02,"Detergent,Soap,Toothpaste"
267,Family,2025-06-13,"Baby Wipes,Bread,Butter,Cereal,Chips,Jam,Soda"
268,Student,2025-07-22,"Milk,Pasta,Rice,Shampoo,Toothpaste"
269,Family,2025-12-10,"Bread,Chocolate,Diapers,Ice Cream,Soap"
270,Student,2025-06-05,"Cereal,Chocolate,Milk,Pasta,Rice,Soda,Water"
271,Student,2025-03-03,"Onion,Orange,Soda,Water"
272,Household,2025-07-06,"Chocolate,Detergent,Soap,Tissues,Toothpaste"
273,Family,2025-05-11,"Baby Wipes,Cereal,Coffee,Diapers,Milk"
274,Household,2025-07-03,"Bread,Detergent,Eggs,Milk,Soap,Toothpaste"
275,Healthy,2025-09-17,"Banana,Bread,Sugar,Yogurt"
276,Student,2025-08-31,"Apple,Cheese,Chicken,Chocolate,Pasta,Tomato Sauce"
277,Family,2025-12-08,"Bread,Cheese,Chips,Chocolate,Milk,Soda"
278,Family,2025-09-07,"Baby Wipes,Cheese,Chocolate,Milk,Shampoo,Soap,Tea,Toothpaste"
279,Student,2025-11-03,"Chips,Soda,Water"
280,Healthy,2025-02-27,"Banana,Biscuits,Bread,Milk"
281,Family,2025-08-12,"Baby Wipes,Bread,Cereal,Milk,Water"
282,Healthy,2025-04-28,"Biscuits,Chicken,Coffee,Sugar"
283,Family,2025-03-11,"Baby Wipes,Bread,Butter,Chips,Honey,Juice,Milk,Soda"
284,Family,2025-03-17,"Cheese,Chocolate,Milk,Shampoo,Soap,Toothpaste"
285,Student,2025-08-24,"Banana,Chocolate,Ice Cream,Pasta,Shampoo,Soda"
286,Family,2025-06-25,"Apple,Biscuits,Coffee,Detergent,Sugar"
287,Healthy,2025-09-04,"Apple,Bread,Butter,Fish,Jam,Shampoo,Soap,Toothpaste"
288,Household,2025-03-26,"Baby Wipes,Diapers,Shampoo"
289,Household,2025-03-02,"Apple,Bread,Butter,Milk,Tissues"
290,Family,2025-11-06,"Bread,Chips,Diapers,Eggs,Milk,Soda"
291,Student,2025-04-28,"Milk,Shampoo,Tomato Sauce"
292,Healthy,2025-02-19,"Apple,Banana,Fish,Milk,Shampoo,Tea"
293,Healthy,2025-09-20,"Bread,Fish,Orange,Soda"
294,Healthy,2025-07-14,"Bread,Eggs,Milk,Olive Oil,Potato,Rice"
295,Household,2025-02-05,"Bread,Shampoo,Soap,Toothpaste"
296,Family,2025-11-28,"Bread,Butter,Diapers,Milk,Shampoo,Soap,Toothpaste"
297,Healthy,2025-08-26,"Apple,Baby Wipes,Milk,Pasta"
298,Family,2025-10-12,"Baby Wipes,Cereal,Diapers,Eggs,Juice,Shampoo,Soap,Toothpaste"
299,Household,2025-04-24,"Bread,Butter,Cereal,Detergent"
300,Healthy,2025-04-11,"Apple,Banana,Ice Cream,Rice"
301,Household,2025-11-09,"Pasta,Shampoo,Soap,Tissues"
302,Household,2025-09-23,"Biscuits,Coffee,Sugar"
303,Family,2025-11-15,"Biscuits,Bread,Coffee,Eggs,Juice,Milk,Sugar,Tea,Yogurt"
304,Healthy,2025-07-20,"Chips,Pasta,Tomato Sauce,Yogurt"
305,Family,2025-04-06,"Apple,Eggs,Shampoo,Soap,Toothpaste"
306,Student,2025-02-18,"Chips,Milk,Tomato Sauce"
307,Healthy,2025-05-26,"Cereal,Fish,Ice Cream,Orange,Pasta,Tomato Sauce"
308,Household,2025-05-02,"Beef,Bread,Butter,Jam"
309,Student,2025-06-25,"Cheese,Pasta,Soda,Tomato Sauce"
310,Family,2025-10-19,"Baby Wipes,Chips,Diapers,Eggs,Milk,Soda,Tomato Sauce"
311,Family,2025-03-02,"Bread,Butter,Cereal,Chips,Eggs,Juice,Milk"
312,Household,2025-08-11,"Cheese,Chicken,Onion,Pasta,Rice,Soap,Tomato Sauce"
313,Healthy,2025-02-17,"Biscuits,Eggs,Fish,Soap,Sugar,Tea,Water,Yogurt"
314,Healthy,2025-02-08,"Apple,Baby Wipes,Chips,Orange,Soda,Yogurt"
315,Household,2025-10-04,"Butter,Coffee,Sugar,Tissues"
316,Family,2025-08-22,"Baby Wipes,Banana,Beef,Chocolate,Tea"
317,Healthy,2025-11-12,"Banana,Chicken,Onion,Rice"
318,Student,2025-07-21,"Bread,Butter,Chips,Milk,Toothpaste"
319,Student,2025-09-23,"Bread,Chips,Eggs,Milk,Soda"
320,Family,2025-05-17,"Baby Wipes,Cereal,Juice,Milk,Shampoo,Soap,Toothpaste"
321,Household,2025-11-20,"Rice,Tissues,Toothpaste"
322,Family,2025-04-24,"Baby Wipes,Bread,Cereal,Honey,Rice,Soda,Tea"
323,Student,2025-05-14,"Baby Wipes,Chips,Diapers,Pasta,Soda"
324,Healthy,2025-05-02,"Chips,Fish,Soda,Sugar"
325,Household,2025-12-12,"Biscuits,Sugar,Tissues"
326,Healthy,2025-03-27,"Bread,Honey,Sugar,Water"
327,Healthy,2025-04-20,"Apple,Banana,Chicken,Eggs,Onion,Orange,Pasta,Rice"
328,Family,2025-04-08,"Biscuits,Honey,Milk,Olive Oil,Sugar,Tea"
329,Student,2025-11-24,"Banana,Biscuits,Butter,Chocolate,Coffee,Soda,Tomato Sauce"
330,Student,2025-05-07,"Chips,Chocolate,Coffee"
331,Family,2025-06-19,"Biscuits,Cheese,Coffee,Eggs,Honey,Juice,Sugar"
332,Healthy,2025-03-18,"Apple,Banana,Milk,Potato"
333,Family,2025-08-16,"Bread,Cereal,Milk,Potato,Shampoo"
334,Household,2025-09-16,"Chicken,Onion,Potato,Rice"
335,Family,2025-02-03,"Baby Wipes,Biscuits,Cereal,Coffee,Sugar,Tea"
336,Student,2025-01-01,"Banana,Chips,Eggs,Pasta,Rice,Water"
337,Family,2025-11-17,"Baby Wipes,Bread,Butter,Cereal,Eggs,Milk,Rice"
338,Student,2025-07-10,"Biscuits,Chips,Sugar,Tea"
339,Student,2025-01-28,"Bread,Butter,Chocolate,Milk,Pasta"
340,Family,2025-08-17,"Baby Wipes,Chicken,Eggs,Juice,Milk,Onion,Rice"
341,Family,2025-08-18,"Baby Wipes,Biscuits,Cereal,Diapers,Juice"
342,Family,2025-08-14,"Cheese,Chocolate,Diapers,Ice Cream,Olive Oil"
343,Student,2025-02-23,"Butter,Chips,Jam,Olive Oil,Soda,Tomato Sauce"
344,Family,2025-01-06,"Bread,Detergent,Eggs,Milk,Soap"
345,Student,2025-01-07,"Biscuits,Bread,Shampoo"
346,Household,2025-02-09,"Biscuits,Bread,Chocolate,Coffee,Pasta,Sugar"
347,Student,2025-09-02,"Butter,Chips,Milk,Onion,Pasta,Rice,Tea"
348,Family,2025-11-30,"Cereal,Cheese,Diapers,Juice,Onion,Pasta,Tomato Sauce"
349,Household,2025-12-25,"Bread,Chips,Eggs,Milk,Toothpaste"
350,Household,2025-03-19,"Chips,Shampoo,Soap,Tissues,Toothpaste"
351,Student,2025-02-12,"Baby Wipes,Cereal,Soap"
352,Household,2025-08-13,"Chocolate,Detergent,Pasta"
353,Family,2025-02-06,"Bread,Cereal,Chocolate,Fish,Ice Cream,Olive Oil,Pasta,Tomato Sauce"
354,Family,2025-04-06,"Baby Wipes,Bread,Cheese,Eggs,Juice,Milk,Pasta,Tomato Sauce,Toothpaste"
355,Healthy,2025-01-05,"Apple,Banana,Cheese,Juice,Pasta"
